month,LogReg_v92,ElasticNet_v92,MLP_v92,Ensemble_v92
1990-01-01,,,,
1990-02-01,,,,
1990-03-01,,,,
1990-04-01,,,,
1990-05-01,,,,
1990-06-01,,,,
1990-07-01,,,,
1990-08-01,,,,
1990-09-01,,,,
1990-10-01,,,,
1990-11-01,,,,
1990-12-01,,,,
1991-01-01,,,,
1991-02-01,,,,
1991-03-01,,,,
1991-04-01,,,,
1991-05-01,,,,
1991-06-01,,,,
1991-07-01,,,,
1991-08-01,,,,
1991-09-01,,,,
1991-10-01,,,,
1991-11-01,,,,
1991-12-01,,,,
1992-01-01,,,,
1992-02-01,1.6506388254939048,2.9445759121336934,3.9355511415307403,2.8435886263861128
1992-03-01,0.411409348886851,-0.7656503471974706,-1.8313118208115389,-0.7285176063740528
1992-04-01,2.0469751513984265,2.869152054710504,4.018603108176159,2.97824343809503
1992-05-01,0.9236443179870099,0.8480332016530081,2.8217512826989757,1.5311429341129978
1992-06-01,0.7234412877025449,0.6551346917983252,1.6189630076180073,0.9991796623729591
1992-07-01,2.4030025588092676,4.595119850134589,4.595119850134589,3.864414086359482
1992-08-01,-0.07578724358115736,-1.450248937662506,-1.4588642209824347,-0.9949668007420328
1992-09-01,-0.11425037452481858,-0.6422191614763049,-1.5231083709335085,-0.759859302311544
1992-10-01,1.8046457796758497,4.426146040800679,3.4878559421764064,3.239549254217645
1992-11-01,2.6788628425416796,4.595119850134589,4.595119850134589,3.9563675142702857
1992-12-01,1.2382025297176695,1.980826111391465,2.435406898815243,1.8848118466414592
1993-01-01,1.1355519975450874,2.009998249714608,2.7882306933035848,1.9779269801877601
1993-02-01,1.4780889126286034,3.741247731214264,4.0487916906482795,3.089376111497049
1993-03-01,0.5549859994026648,0.4883488415224925,-1.0658302880830708,-0.0074984823859711724
1993-04-01,-0.5736656252750472,-2.1106577308008285,-2.440813491335205,-1.7083789491370267
1993-05-01,1.7158282554657267,4.595119850134589,4.595119850134589,3.6353559852449684
1993-06-01,1.001695264023589,2.731902927378356,2.659269667295539,2.130955952899161
1993-07-01,0.8130909779292274,1.8824529374980095,2.3076748118317134,1.6677395757529834
1993-08-01,2.4810272744723307,4.595119850134589,4.595119850134589,3.890422324913836
1993-09-01,-0.34562404280763015,0.2056498320432232,2.045313253166811,0.6351130141341347
1993-10-01,1.4526137811415971,1.7834655694198152,3.529029012977934,2.255036121179782
1993-11-01,-0.06283911026224769,0.1445554305919999,-1.9515262336701207,-0.6232699711134562
1993-12-01,1.1526615317454822,1.8572324359337067,2.4119066242954963,1.807266863991562
1994-01-01,2.1671223440421943,4.418475626750917,4.595119850134589,3.7269059403092335
1994-02-01,-1.4070407109765728,-2.70968101634626,-4.17500400145472,-2.7639085762591846
1994-03-01,-2.368891211162578,-4.59511985013459,-4.59511985013459,-3.8530436371439194
1994-04-01,1.0354048362691595,2.9396975898587514,3.667249281220638,2.547450569116183
1994-05-01,1.7669630170208357,4.595119850134589,4.595119850134589,3.6524009057633378
1994-06-01,-1.9901866303496198,-4.59511985013459,-4.59511985013459,-3.7268087768729337
1994-07-01,2.1612139102494337,4.227591183418201,4.595119850134589,3.6613083146007415
1994-08-01,2.245198593448927,4.595119850134589,4.595119850134589,3.811812764572702
1994-09-01,-1.5996484409817855,-3.121044437795911,-3.2169712117526634,-2.6458880301767866
1994-10-01,2.233561851913743,3.8727202114715027,4.595119850134589,3.5671339711732784
1994-11-01,-1.4888061100251642,-4.408958202016036,-4.006859256717984,-3.301541189586395
1994-12-01,1.071387278302585,1.5392849355049234,2.296246521294001,1.6356395783671698
1995-01-01,1.9262332521553722,3.001703744469263,4.595119850134589,3.174352282253075
1995-02-01,1.7366372123925247,3.0591431036926466,4.15611672986112,2.983965681982097
1995-03-01,1.7144401968219283,2.968428453636642,4.287856654653171,2.9902417683705806
1995-04-01,2.3919302777928886,4.595119850134589,4.595119850134589,3.8607233260206884
1995-05-01,2.2877540758264203,3.700046018802996,4.595119850134589,3.5276399815880013
1995-06-01,2.039608895723998,3.777776397389599,4.595119850134589,3.470835047749395
1995-07-01,2.262812525295559,4.595119850134589,3.8942722026726497,3.5840681927009324
1995-08-01,1.6071433574521865,3.1911776185477776,2.677900725087586,2.4920739003625165
1995-09-01,1.5268682857145246,3.0009244702527185,4.595119850134589,3.0409708687006103
1995-10-01,1.3293197724150825,1.313380225814288,3.1522854400589457,1.931661812762772
1995-11-01,3.1553514324744603,4.595119850134589,4.595119850134589,4.115197044247879
1995-12-01,2.21418216393727,4.015631025666674,4.2485287957539555,3.4927806617859667
1996-01-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1996-02-01,0.8053432169738698,0.18765776501171075,-1.0473282760777112,-0.01810909803071022
1996-03-01,1.382586044694717,2.0056811938966614,4.0910758639759415,2.49311436752244
1996-04-01,3.154205005842739,4.595119850134589,4.595119850134589,4.114814902037305
1996-05-01,2.845632154003112,4.595119850134589,4.595119850134589,4.01195728475743
1996-06-01,2.191398103328133,4.595119850134589,4.595119850134589,3.7938792678657705
1996-07-01,1.1974733096043877,3.7132385453085903,3.921022699233887,2.943911518048955
1996-08-01,1.0054889656750279,-0.23317873575851808,-0.9847249768314209,-0.07080491563830371
1996-09-01,2.632006183254217,4.595119850134589,4.595119850134589,3.9407486278411317
1996-10-01,2.513243827575153,3.7946276115671096,4.595119850134589,3.6343304297589505
1996-11-01,3.9666440719948244,4.595119850134589,4.595119850134589,4.385627924088001
1996-12-01,1.7431441522571265,4.278444242444122,4.595119850134589,3.5389027482786126
1997-01-01,2.9278653267722534,4.595119850134589,4.595119850134589,4.039368342347143
1997-02-01,0.10095112021545187,-1.7785709189036913,-1.3726089742591698,-1.016742924315803
1997-03-01,-2.3654344806221577,-4.59511985013459,-4.59511985013459,-3.8518913936304457
1997-04-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1997-05-01,2.9538301602872745,4.595119850134589,4.595119850134589,4.048023286852151
1997-06-01,1.906728128819054,2.4041716980029566,3.6265386205438994,2.6458128157886365
1997-07-01,3.349549072871094,4.595119850134589,4.595119850134589,4.179929591046757
1997-08-01,-0.7941289135346682,-2.5776346450357157,-2.977468012225624,-2.116410523598669
1997-09-01,3.217108558567517,4.595119850134589,4.595119850134589,4.135782752945565
1997-10-01,-1.9213990938599874,-4.59511985013459,-4.541682663062422,-3.686067202352333
1997-11-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1997-12-01,3.093579700927814,4.595119850134589,4.595119850134589,4.094606467065664
1998-01-01,2.8654150994918854,4.595119850134589,4.595119850134589,4.018551599920355
1998-02-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
1998-03-01,3.256418286925271,4.595119850134589,4.595119850134589,4.148885995731483
1998-04-01,1.3240372928856705,1.3281281594643255,1.8768888382998166,1.5096847635499373
