soft_key,signal,variant,risk_pos_soft,base_pos,risk_multiplier,risk_score,kalman_rank,hmm_rank,hawkes_rank,dd_rank,tail_rank
Ensemble_v92_SoftRisk_LS,Ensemble_v92,LS,-0.7342363948209191,-1.0,0.7342363948209191,0.4375,0.5208333333333334,0.875,0.9166666666666666,0.125,0.16666666666666666
Ensemble_v92_SoftRisk_LO,Ensemble_v92,LO,0.0,0.0,0.7342363948209191,0.4375,0.5208333333333334,0.875,0.9166666666666666,0.125,0.16666666666666666
MLP_v92_SoftRisk_LS,MLP_v92,LS,-0.5313913954806728,-0.7691267350146073,0.6909022548417598,0.53125,0.5208333333333334,0.875,0.9166666666666666,0.5,0.16666666666666666
MLP_v92_SoftRisk_LO,MLP_v92,LO,0.0,0.0,0.6909022548417598,0.53125,0.5208333333333334,0.875,0.9166666666666666,0.5,0.16666666666666666
ElasticNet_v92_SoftRisk_LS,ElasticNet_v92,LS,-0.6955189904152262,-1.0,0.6955189904152262,0.5208333333333334,0.5208333333333334,0.875,0.9166666666666666,0.4583333333333333,0.16666666666666666
ElasticNet_v92_SoftRisk_LO,ElasticNet_v92,LO,0.0,0.0,0.6955189904152262,0.5208333333333334,0.5208333333333334,0.875,0.9166666666666666,0.4583333333333333,0.16666666666666666
LogReg_v92_SoftRisk_LS,LogReg_v92,LS,-0.7444304726503328,-1.0,0.7444304726503328,0.4166666666666667,0.5208333333333334,0.875,0.9166666666666666,0.041666666666666664,0.16666666666666666
LogReg_v92_SoftRisk_LO,LogReg_v92,LO,0.0,0.0,0.7444304726503328,0.4166666666666667,0.5208333333333334,0.875,0.9166666666666666,0.041666666666666664,0.16666666666666666
