,LogReg_v92,ElasticNet_v92,MLP_v92,EWLogit_v92,som_ret,remaining_ret,monthly_return,Ensemble_v92
1997-02-01,2.25112304243341,4.595119850134589,0.8200788948759611,3.0740599597378426,3.0048,-2.1388,0.5199,2.6850954367954505
1997-03-01,-2.1673356150440792,-4.59511985013459,0.812987165352416,-3.079681750190172,-0.1054,-4.3154,-4.8019,-2.2572875125041065
1997-04-01,2.063725295229393,4.595119850134589,1.6855532973643426,1.150097592524045,-1.0592,6.6696,5.4894,2.373624008813092
1997-05-01,-1.0564545692176306,4.595119850134589,0.36366860869614775,-1.8988902578457083,4.6538,1.2395,6.2302,0.5008609079418493
1997-06-01,0.4212537808749418,4.595119850134589,0.009034933514705017,0.6824273301517767,4.7928,0.5582,4.582,1.4269589736690032
1997-07-01,4.595119850134589,4.595119850134589,0.3610754766957157,4.595119850134589,3.9027,2.7226,7.1019,3.5366087567748705
1997-08-01,2.831878793253517,4.595119850134589,-0.32121073200390754,4.595119850134589,-3.148,-0.292,-5.033,2.925226940379697
1997-09-01,-0.5533194004757372,4.595119850134589,0.7772873940746259,-1.0533276738676633,0.1511,2.7062,2.1238,0.9414400424664535
1997-10-01,-4.59511985013459,4.595119850134589,4.595119850134589,-4.59511985013459,1.0316,-4.222,-4.2694,-4.440892098500626e-16
1997-11-01,0.6460768898640246,4.595119850134589,1.7195869735613465,0.10866369849421102,-1.2684,3.9147,1.7476,1.7673618530135429
1997-12-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589,-1.3193,1.1888,-0.4452,4.595119850134589
1998-01-01,1.825476411021242,4.595119850134589,0.4683580798098031,1.4675097761972218,-1.524,3.4452,0.5374,2.089116029290714
1998-02-01,3.618414087577743,4.595119850134589,1.317522652314712,3.8830665891451415,2.2517,2.5021,4.8009,3.353530794793046
1998-03-01,2.8280464180059193,4.595119850134589,0.946820552003847,3.2086522664323165,2.4476,3.031,5.1589,2.894659771644168
1998-04-01,1.6535127549274389,4.595119850134589,-0.18314600341924941,2.081495437208991,0.6299,-0.2484,0.3249,2.0367455097129423
1998-05-01,-0.8036964039597374,-4.59511985013459,-2.1078439101059336,-0.739317156750248,-0.6856,-1.8107,-2.6922,-2.061494330237627
1998-06-01,2.15460529613356,4.595119850134589,0.8888976271219038,1.6679162641149035,0.2823,4.3661,3.9286,2.326634759376239
1998-07-01,-1.2021945037514685,-4.59511985013459,-1.990177401423739,-1.1972232579507034,2.534,-5.572,-2.4283,-2.246178753315125
1998-08-01,-4.59511985013459,-4.59511985013459,-0.06109170060364223,-4.59511985013459,-2.7948,-8.236,-13.9477,-3.461612812751853
1998-09-01,2.0231030010586433,4.595119850134589,4.595119850134589,2.397970869293827,3.4098,-1.4012,2.2881,3.402828392655412
1998-10-01,-0.036535065662431164,4.595119850134589,-0.25992264522840014,-1.509987629636815,3.4469,7.9744,11.3829,0.6971686274017357
1998-11-01,1.1187775774523507,4.595119850134589,1.1669736925783412,0.8211303278196215,1.4676,4.2298,4.6806,1.9255003619962254
1998-12-01,3.1904506434142554,4.595119850134589,1.2815799499688028,2.9386892850779613,-1.3435,6.3838,4.5904,3.001459932148902
1999-01-01,2.337829390366144,4.595119850134589,1.412783371060012,2.051548768458324,0.9441,2.4446,4.1967,2.5993203450047675
1999-02-01,-1.6464016139918187,4.595119850134589,0.24920172752007916,-1.245965468135872,-3.0068,0.1238,-2.7235,0.4879886238817443
1999-03-01,1.5953200186701697,4.595119850134589,1.3206890823415043,1.7034614385996614,5.0471,0.1494,4.0618,2.303647597436481
1999-04-01,2.5775598697454463,4.595119850134589,0.17286086126127725,2.0161265848863783,2.1796,1.4556,3.2047,2.3404167915069225
1999-05-01,0.7032458767625236,4.595119850134589,0.29699233389113716,1.0861053425555793,-0.4574,-4.1051,-3.897,1.6703658508359573
1999-06-01,2.02425761541771,4.595119850134589,0.15559637319740963,1.6474503584882387,0.7839,5.3418,6.0614,2.105606049309487
1999-07-01,-0.8929661591130039,-4.59511985013459,0.168312760848747,-0.39216883331598235,1.7811,-5.3759,-3.7829,-1.4279855204287073
1999-08-01,0.6348671098307741,2.07066313798061,0.5426696848721236,0.3580698837711625,-0.5655,0.2357,-0.5753,0.9015674541136676
1999-09-01,-1.0777565668111204,-4.59511985013459,-0.2325678001670968,-0.4457669464343396,-0.046,-3.4451,-3.6332,-1.5878027908867867
1999-10-01,4.595119850134589,4.595119850134589,2.2572690000054902,3.9506642977038036,-0.4755,5.8821,6.2457,3.8495432494946176
1999-11-01,0.6046347085140952,4.595119850134589,0.04898669194050449,0.6415798514797902,2.8777,0.5618,2.581,1.4725802755172446
1999-12-01,4.005714037902714,4.595119850134589,1.5938670353614903,3.0080386973696047,1.1296,2.3758,5.1176,3.3006849051921
2000-01-01,-1.4159883586938553,-4.59511985013459,-0.8271664239013363,-1.0330824801673757,-0.2471,-4.0209,-4.1753,-1.9678392782242893
2000-02-01,-0.7114382746142824,-4.59511985013459,-0.8535668584272416,-0.6017885165441378,-0.8911,-1.9952,-3.0413,-1.6904783749300631
2000-03-01,2.5806105994733897,4.595119850134589,3.3693390923467943,1.6341565602469934,1.3414,7.091,8.6565,3.0448065255504417
2000-04-01,-1.2367464568906088,1.7696375785729872,-0.7857310364252296,-1.211606072696274,-5.6118,2.5688,-3.5552,-0.3661114968597813
2000-05-01,-0.09075289878896622,2.4725941200909167,1.5729411339347696,0.4234209916470149,-2.8746,1.1385,-3.2454,1.0945508367209338
2000-06-01,1.9820134077139069,4.595119850134589,3.3027008162869067,1.660108257464217,1.175,-0.8626,0.3996,2.8849855828999047
