,LogRegv92,ElasticNetv92,MLPv92,EWLogitv92,Ensemblev92,somret,remainingret,monthly_return,vixmonth,vixchg1m,vixspike,hmmstressprob,kalmanuncertainty,hawkesvixintensity,vrp
1997-01-01,,,,1.5410276979521398,1.5410276979521398,3.57210357210358,2.471324296141808,6.131706131706127,21.14,17.902955939765764,0,0.9279069767441861,0.9592286955340926,0.5317930089220986,-240.2213142732777
1997-02-01,4.018629021734603,4.595119850134589,0.7770365432242509,4.040454279771189,3.3578099237161574,2.8391167192429068,-2.1843459331090442,0.5927546555408725,19.58,-7.379375591296133,0,0.8372093023255814,0.9592277211709229,1.2970838560565796,-293.5484187340869
1997-03-01,0.9113947892265626,4.595119850134589,0.09722110879085398,1.4020060738940527,1.7514354555115146,0.2971599099668598,-4.545053393345688,-4.261399559950441,20.89,6.690500510725239,0,0.8860465116279069,0.9592268446595262,0.9179938219805441,-326.51937342284793
1997-04-01,-1.647233752705255,-4.59511985013459,0.00016832351724313603,-1.557911509852665,-1.9500241972938168,-1.7685439560439553,7.746090651177173,5.840553677092153,20.84,-0.23934897079942452,0,0.8534883720930233,0.95922605617293,0.7094943032387246,-382.7711719715101
1997-05-01,4.072644156707223,4.595119850134589,1.5220396303992763,3.4942928716315,3.421024127218147,4.330246836548768,1.4640447825462921,5.857688371976932,19.87,-4.654510556621871,0,0.7581395348837209,0.9592253468710704,0.5948195679307239,-313.35587193996093
1997-06-01,1.088030179426118,4.595119850134589,0.30869452256792146,0.5795350761853019,1.6428449070784825,5.303673315414725,-0.9101391516562751,4.345263356438922,20.85,4.932058379466531,0,0.8046511627906977,0.9592247088016754,0.5317484635113234,-315.3553708959523
1997-07-01,0.3798329183810908,4.595119850134589,0.5367623260342802,0.16714651192912103,1.4197154016197702,4.589104548433021,3.0839526443138476,7.814583003818609,21.0,0.7194244604316502,0,0.827906976744186,0.9592241348111035,0.4970593560806532,-294.89458083471504
1997-08-01,1.7553252837647093,4.595119850134589,1.023799891024614,1.436966006872523,2.202802757949109,-3.0954302061175,-2.7358153919352923,-5.746560342027218,22.29,6.142857142857139,0,0.9023255813953488,0.9592236184641371,0.47798034699378456,-349.6100965086055
1997-09-01,-1.904647275621769,-4.59511985013459,-0.012954893095193222,-1.1468570084226801,-1.914894756818558,2.256884609825782,2.9909651325874975,5.315352374175908,24.53,10.049349484073588,0,0.9511627906976744,0.9592231539718314,0.4674868919960068,-362.1663995028141
1997-10-01,1.7078601440163304,4.595119850134589,1.5360894487733507,1.6792695660289196,2.3795847522382974,2.428004391520977,-5.736488436327658,-3.4477662359597927,22.32,-9.009376273950265,0,0.8,0.9592227361266102,1.261715491747229,-690.7195574974132
