,signal,sharpe_ann_ls,nav_ls,max_dd_ls,avg_position_ls,short_exposure_pct_ls,turnover_ls,sharpe_ann_lo,nav_lo,max_dd_lo,avg_position_lo,short_exposure_pct_lo,turnover_lo,delta_sharpe_lo_minus_ls,delta_dd_lo_minus_ls
Ensemble_v92,Ensemble_v92,3.6421147175271864,4.8952229787299055,-0.7136589462141241,0.6657451120134492,32.78688524590164,0.6485618150832351,2.8468972075117627,2.7597552016442934,-0.5482412384551938,0.4733706249097335,0.0,0.35937125795273533,-0.7952175100154237,0.16541770775893028
ElasticNet_v92,ElasticNet_v92,3.3880468623654996,2.8425753486484457,-0.7282764796610164,0.4033107536175464,32.78688524590164,0.4370085093585796,2.71008122709433,1.9214321310871778,-0.17578419779706866,0.27925470342193764,0.0,0.25370188048823994,-0.6779656352711694,0.5524922818639477
LogReg_v92,LogReg_v92,3.3187057616108038,4.380466872876273,-1.1139352777351452,0.6133851971066143,27.86885245901639,0.5893137663351231,2.73993642387938,2.6190277394937693,-0.7744648687884048,0.4693200831136874,0.0,0.3543457971203308,-0.5787693377314236,0.3394704089467404
MLP_v92,MLP_v92,2.9772253520066245,2.8168785053677325,-0.7398586110784033,0.4314132461252782,34.42622950819672,0.4556160882836673,2.6664761828433634,2.6092419106905993,-1.1873672569121752,0.45876337263645434,0.0,0.3478932659449175,-0.3107491691632611,-0.4475086458337718
Transformer_v92,Transformer_v92,0.4920022916807593,1.1298577563873555,-3.4311500327743993,0.25960976657643603,9.01639344262295,0.1373988855518053,0.5633739966190382,1.1416822371141593,-3.4311500327744215,0.24532982322122665,0.0,0.11450982720776723,0.07137170493827888,-2.220446049250313e-14
