feature,coef,abs_coef
on_minus_id,-1.6182533199108426,1.6182533199108426
mom_d10,-0.41208679490155736,0.41208679490155736
overnight_avg,0.3106400305136573,0.3106400305136573
id_ret_d10,-0.23897672998400302,0.23897672998400302
vix_post_spike,-0.21442439546479017,0.21442439546479017
tbl_chg,-0.1674072214732377,0.1674072214732377
vol12m,-0.1617101868513883,0.1617101868513883
tsmom,0.14265567936520793,0.14265567936520793
dvp_lag1,-0.13978323722560013,0.13978323722560013
vol_d10,0.13861817093531104,0.13861817093531104
on_ret_d10,0.1312762790144335,0.1312762790144335
month_9,-0.12814581095390834,0.12814581095390834
month_9,-0.12814581095390834,0.12814581095390834
tom_early,-0.11851359800767712,0.11851359800767712
vol6m,0.11009580475456503,0.11009580475456503
vix_chg3m,0.10997685478027878,0.10997685478027878
lty,0.10681724305635898,0.10681724305635898
month_12,0.09179150489132705,0.09179150489132705
month_12,0.09179150489132705,0.09179150489132705
mom3m,-0.08151071282123817,0.08151071282123817
mom6m,-0.0799161247170518,0.0799161247170518
up_ratio_d10,-0.07057386089653256,0.07057386089653256
rate_cutting,-0.0675265008758504,0.0675265008758504
vrp_high,-0.0671618325494034,0.0671618325494034
month_10,0.06376167642840859,0.06376167642840859
month_10,0.06376167642840859,0.06376167642840859
rate_rising,-0.05804522017690365,0.05804522017690365
lty_chg,-0.05715168422962422,0.05715168422962422
rev1m,0.05506205873861504,0.05506205873861504
vix_chg1m,-0.053061009652950394,0.053061009652950394
tom_last,0.044705204080406805,0.044705204080406805
svar,-0.03856238873942901,0.03856238873942901
overnight_vol,-0.033329931039642186,0.033329931039642186
mom24m,0.03275732569025049,0.03275732569025049
dfy,0.024445187741315065,0.024445187741315065
svar_lag1,0.02290428013508411,0.02290428013508411
month_1,-0.019879227222398783,0.019879227222398783
month_1,-0.019879227222398783,0.019879227222398783
high_vix,0.01579451195364616,0.01579451195364616
inverted,-0.013672392763614729,0.013672392763614729
vix_zscore12,-0.00849920479270444,0.00849920479270444
tbl,0.002307839315426364,0.002307839315426364
mom12m_skip1,0.000955936668636981,0.000955936668636981
macro_stress,0.0,0.0
stress_roll3,0.0,0.0
mom_x_stress,0.0,0.0
vrp_positive,0.0,0.0
