month,SPX_BH,LogRegv92_LS,MLPv92_LS,Ensemblev92_LS,Ensemblev92_LO,Ensemblev92_Binary
2016-01-01,1.017163,1.0105840535538275,1.0009323950224083,1.0158597739988535,1.0158327194378576,1.0
2016-02-01,1.064744867977,1.039808794879571,1.024978922760279,1.0600509596691599,1.0599473462128892,1.0
2016-03-01,1.0915572732423968,1.0648852602116146,1.0299725939179838,1.0856343062183609,1.0854845547944296,1.025182
2016-04-01,1.0868766756547334,1.0604907892493722,1.026297513140761,1.0811454598082395,1.081022523375911,1.0245535634340002
2016-05-01,1.1092391632563297,1.0729004137415938,1.0149472612934851,1.0862355339321108,1.0860996204331046,1.0129269295961512
2016-06-01,1.1147287878752854,1.0773113920781994,1.0181555605476824,1.0907078765918978,1.0905605100002975,1.0179399049707225
2016-07-01,1.117907994378306,1.0784440066168564,1.01735145846374,1.0898196646867957,1.0905605100002975,1.0463872535550343
2016-08-01,1.1136834200675503,1.0750082607683251,1.0151125634333273,1.0863442888990136,1.0871182154577277,1.04243295612385
2016-09-01,1.1252111571486696,1.0658757347681969,1.0089162452608627,1.0770658062072802,1.0871182154577277,1.02553303303917
2016-10-01,1.1154004410694902,1.068474663474104,1.0122236549930688,1.0830974220830636,1.0871182154577277,1.02553303303917
2016-11-01,1.1287261301389473,1.0706181607417242,1.0054291988392061,1.0734215544204326,1.0871182154577277,1.02553303303917
2016-12-01,1.1256074598413734,1.068129218520768,1.0037553201288358,1.0709491167482736,1.084608115201202,1.0226994852688829
2017-01-01,1.1307312249985713,1.0644581977688128,1.0048888154191242,1.066858817691849,1.084608115201202,1.028080929960368
2017-02-01,1.1511307470287704,1.0769787003954714,0.9990027357554719,1.0793705731579168,1.0974778195321522,1.028080929960368
2017-03-01,1.1447408202520137,1.0719677332819577,0.9952507334739122,1.074377788898469,1.0924087012455632,1.022374052718158
2017-04-01,1.1679561640867246,1.059272470227059,0.9830507710226984,1.0570053818975125,1.0924087012455632,1.0144905263976483
2017-05-01,1.1805572431410563,1.0678993428396035,0.98887486555235,1.0654990834467244,1.1014277903488208,1.0254358646869524
2017-06-01,1.1764406400342233,1.0650680296069268,0.9870099183994339,1.0627097363818008,1.098494019332696,1.0237982436110473
2017-07-01,1.1831087055819374,1.068621793390364,0.988994570702505,1.0641082541201072,1.0999620134724581,1.0369171943046793
2017-08-01,1.1880671141670314,1.0714319694802257,0.9894167833792487,1.0672823788460928,1.1032995855036687,1.0369171943046793
2017-09-01,1.1986753654294287,1.0788302458623846,0.9928288854748231,1.0745413974582172,1.1109160510224474,1.0369171943046793
2017-10-01,1.2087873908121916,1.085886689567942,0.9974066591063215,1.0815117453224505,1.1181805904244475,1.0456646277558337
2017-11-01,1.2367067531777807,1.1050751674747552,1.0123914699247474,1.1006649119240122,1.137934908424575,1.0697734714133722
2017-12-01,1.24760337638003,1.112545411711995,1.0183491619161984,1.108110789298926,1.145625406650661,1.0900371205088843
2018-01-01,1.2571974463443925,1.1189240049415607,1.0219196685832816,1.1144593104025966,1.1521872535783446,1.1265708046398601
2018-02-01,1.2621206315442772,1.1219099817031444,1.0240537466991677,1.1174333726158443,1.1552612472797,1.1265708046398601
2018-03-01,1.1940254371105687,1.0950952644047711,1.0097216922344698,1.1099026348540777,1.147586810921923,1.1265708046398601
2018-04-01,1.186316808888583,1.098744922296634,1.0126769941002292,1.113704080563791,1.147586810921923,1.1265708046398601
2018-05-01,1.1883762548688135,1.0980977083319192,1.0128545425855895,1.1126132003493585,1.147586810921923,1.1265708046398601
2018-06-01,1.1622878309456783,1.0855505524280409,1.0155396165138,1.1013486204099219,1.1361620404658754,1.1265708046398601
2018-07-01,1.1665266946651371,1.0834764077016417,1.014064868912895,1.0992158715540872,1.1361620404658754,1.1265708046398601
2018-08-01,1.1937837574126828,1.0969032046044682,1.022507684606766,1.1131230688921552,1.1502967876015853,1.152894258061075
2018-09-01,1.200759035907245,1.1003238473706876,1.0252709738206272,1.1166652797859233,1.1539076364649936,1.1617496388572421
2018-10-01,1.1773682498877718,1.0964524719755684,1.031909539866818,1.1144685205326779,1.1516803898309498,1.0996971053969602
2018-11-01,1.1876619804965405,1.092004011519087,1.0285869910028371,1.1098758323519566,1.1516803898309498,1.0996971053969602
2018-12-01,1.1496354192050022,1.0764762520816455,1.0300866045956056,1.094005163090746,1.1355459059359694,1.0996971053969602
2019-01-01,1.191901765392074,1.0593814673241153,1.0182546318380026,1.0764531301432634,1.1355459059359694,1.0996971053969602
2019-02-01,1.2064012503680686,1.0671002861969088,1.024837014761562,1.084328923941329,1.1438885677915611,1.1130749206841142
2019-03-01,1.22046668254611,1.075381186245847,1.0305122256274386,1.0927702442519336,1.1528305497735107,1.129854525113427
2019-04-01,1.2344471283946756,1.08376817201465,1.0367496132079264,1.1013074119220045,1.1619385492955014,1.1554570286524972
2019-05-01,1.2003134308474346,1.063860470284571,1.0197161509921038,1.0810182363380232,1.140817616372244,1.0947620263944102
2019-06-01,1.224305295703213,1.0499928131363805,1.007913915549132,1.0668649236073608,1.140817616372244,1.1540893701287762
2019-07-01,1.210650618740235,1.0420526711951683,1.0011816780425224,1.0587735457609477,1.1322347228777139,1.14121781138373
2019-08-01,1.2302558948601146,1.0322065808388778,0.9925077546883199,1.047456928840184,1.1322347228777139,1.1117059187813467
2019-09-01,1.2041104965825473,1.017813606167668,0.981490646613271,1.0327977719233212,1.1165391130045792,1.0880799445954055
2019-10-01,1.2387082034808534,0.998313278706111,0.965238961637421,1.012971715019346,1.1165391130045792,1.0998235914374237
2019-11-01,1.2468539486269434,1.0028966820717422,0.9689273970957848,1.0176417408593508,1.12172061767659,1.1070560313747162
2019-12-01,1.2718483828811191,1.0170575710919547,0.9793233222546535,1.0320424064786415,1.1377380021161947,1.1501260462753495
2020-01-01,1.2574103600386526,1.0089529701575162,0.9730269701824438,1.0238083608669353,1.1286827877649306,1.1524447003846408
2020-02-01,1.1191794669285233,1.0791202539723932,1.024793709234735,1.0950782553657255,1.1286827877649306,1.1982313283309225
2020-03-01,1.1115522588614055,1.0837226558271393,1.0286839542067594,1.0997487174157468,1.1286827877649306,1.1982313283309225
2020-04-01,1.1385463054678546,1.1002401104324186,1.0237509658201742,1.1165554625301843,1.1458352221107047,1.2273303761394387
2020-05-01,1.2101415127945898,1.1461698646285592,0.9907554497612913,1.1635773724993115,1.1939374400585339,1.3224312976649792
2020-06-01,1.2159756050277726,1.1499109590309222,0.9934391953578342,1.1674003781222013,1.1978449170832206,1.3414637289009737
2020-07-01,1.2447042446721586,1.168748313877983,1.0019074304693794,1.1865102492842285,1.2173910790185964,1.4110695988661872
2020-08-01,1.2996803417508385,1.2051751853326182,1.0264800793713327,1.2233556672716481,1.255158593690953,1.5098289490212329
2020-09-01,1.2932391259771214,1.201008893650491,1.0234866279337598,1.2191388855264045,1.2508710580231919,1.4368407979676485
2020-10-01,1.224694865822082,1.2246081900765113,1.0464138979947044,1.2139370446497921,1.2456113589831763,1.4876676043549562
2020-11-01,1.2457338989220397,1.2103394723453653,1.036121839671832,1.199902628950695,1.2456113589831763,1.4876676043549562
2020-12-01,1.2640175353565186,1.2227276901958564,1.0438192620894164,1.2120381182912687,1.258407325034482,1.509502101784074
2021-01-01,1.2542403597205358,1.2159925405230172,1.0388880408069097,1.20542505485805,1.2515462862999878,1.5403412297235226
2021-02-01,1.2312802356954917,1.2325593365020568,1.0489080140855374,1.221640904249056,1.2515462862999878,1.6020318959739495
2021-03-01,1.2514793879620763,1.2177109312523788,1.0382070069380416,1.2069777750990383,1.2515462862999878,1.6020318959739495
