date,logit,signal,pos_start,pos_end,som_ret,remaining_ret,strategy_pnl,bh_pnl,alpha_pnl,kalman_uncertainty,hmm_stress_prob,hawkes_vix_intensity
2021-01-01,-1.227,SHORT,0.0,-0.8264481365065108,2.655209220001886,-2.2287972076200813,1.841985298888531,-2.2287972076200813,4.070782506508612,0.7807764064044151,0.8055555555555556,0.02998151470660555
2021-02-01,-0.9736,SHORT,-0.8264481365065108,-0.7399675719497365,4.206038379802113,-3.0880412145685154,-1.1910222214373407,-3.0880412145685154,1.8970189931311747,0.7807764064044153,0.6944444444444444,0.018184707894181484
2021-03-01,-0.7271,SHORT,-0.7399675719497365,-0.6314920965780788,1.7202228703528055,0.09952279449927381,-1.3357569987430276,0.09952279449927381,-1.4352797932423014,0.7807764064044151,0.75,0.011029582875739428
2021-04-01,-0.3808,SHORT,-0.6314920965780788,-0.21172424630353742,4.119536203907104,-0.10273637130358004,-2.579702773552386,-0.10273637130358004,-2.476966402248806,0.7807764064044153,0.7222222222222222,0.0066897801779774
2021-05-01,-0.6443,SHORT,-0.21172424630353742,-0.33981390714673687,-0.7005099387977998,0.9804745765968681,-0.18486395791132298,0.9804745765968681,-1.165338534508191,0.7807764064044151,0.6388888888888888,0.004057556784681131
2021-06-01,-0.0957,SHORT,-0.33981390714673687,-0.07313984631473358,1.0601993317531422,1.198844249150488,-0.44795376141556364,1.198844249150488,-1.6467980105660516,0.7807764064044153,0.4722222222222222,0.0024610325934341184
2021-07-01,-0.3447,SHORT,-0.07313984631473358,-0.23763090290993066,0.16713195090674038,1.5737804934414346,-0.3862028848421249,1.5737804934414346,-1.9599833782835594,0.7807764064044151,0.6111111111111112,0.001492691722469889
2021-08-01,-0.4641,SHORT,-0.23763090290993066,-0.27003474222130297,2.1095651856782194,0.9592138776840509,-0.76031895201558,0.9592138776840509,-1.7195328296996308,0.7807764064044153,0.4166666666666667,0.0009053632951772489
2021-09-01,-0.512,SHORT,-0.27003474222130297,-0.3306927804797737,-1.1127099593509437,-3.7152277172394554,1.5290693309698467,-3.7152277172394554,5.244297048209302,0.7807764064044151,0.4444444444444444,0.0005491305967034604
2021-10-01,-0.3925,SHORT,-0.3306927804797737,-0.28076722703765655,2.624029157409624,2.997068012712001,-1.7092259732961947,2.997068012712001,-4.706293986008196,0.7807764064044153,0.4166666666666667,0.0003330645430869419
2021-11-01,-0.5539,SHORT,-0.28076722703765655,-0.35714423031300613,1.498373312352208,-2.4728794738190896,0.46248051635759246,-2.4728794738190896,2.935359990176682,0.7807764064044151,0.6111111111111112,0.00020201385704540968
2021-12-01,-1.3482,SHORT,-0.35714423031300613,-0.5605345722721088,4.360918582596218,1.1960041190271387,-2.2278785679335695,1.1960041190271387,-3.423882686960708,0.7807764064044153,0.4444444444444444,0.00012252759798484595
2022-01-01,-0.3118,SHORT,-0.5605345722721088,-0.2247454641793163,-4.575153860266534,-1.344953475009325,2.866804105184144,-1.344953475009325,4.211757580193469,0.7807764064044151,0.4722222222222222,7.431674483875296e-05
2022-02-01,-0.8878,SHORT,-0.2247454641793163,-0.4399248679965881,-1.659943605467018,-2.172410631012267,1.328762256204629,-2.172410631012267,3.501172887216896,0.7807764064044153,0.6388888888888888,4.507538427474427e-05
2022-03-01,-0.9437,SHORT,-0.4399248679965881,-0.5462251451307287,-1.0173561280554466,6.286525355136141,-2.9862979641369325,6.286525355136141,-9.272823319273073,0.7807764064044151,0.75,2.7339602560961105e-05
2022-04-01,-0.1955,SHORT,-0.5462251451307287,-0.1246075642716247,-3.3914374837764494,-5.9148072837563515,2.5895181605425277,-5.9148072837563515,8.504325444298878,0.7807764064044153,0.8055555555555556,1.658230717758094e-05
2022-05-01,-1.1767,SHORT,-0.1246075642716247,-0.5498154423073823,-3.5464867232358976,3.097297661432963,-1.2610230113743044,3.097297661432963,-4.358320672807267,0.7807764064044151,0.8333333333333334,1.0057677711975704e-05
2022-06-01,-0.2353,SHORT,-0.5498154423073823,-0.15913926591977912,-7.588942829346312,-0.12163620484485493,4.191875054710758,-0.12163620484485493,4.313511259555613,0.7807764064044153,0.6944444444444444,6.1002898978216736e-06
2022-07-01,-0.6342,SHORT,-0.15913926591977912,-0.42989933741356984,0.1443012759683393,7.816542020700368,-3.383290234693303,7.816542020700368,-11.199832255393671,0.7807764064044151,0.8888888888888888,3.700012856164093e-06
2022-08-01,-0.8125,SHORT,-0.42989933741356984,-0.3641248202327369,4.334208219723545,-7.9620398683775795,1.03590309388727,-7.9620398683775795,8.99794296226485,0.7807764064044153,0.8333333333333334,2.244171238594432e-06
2022-09-01,-1.1452,SHORT,-0.3641248202327369,-0.5460170632000979,-2.3575380969787063,-7.427975411338561,4.914239455375821,-7.427975411338561,12.342214866714382,0.7807764064044151,0.6388888888888888,1.3611586618527985e-06
2022-10-01,-1.4189,SHORT,-0.5460170632000979,-0.6531930705524757,-0.013049045380775226,5.275493141559839,-3.438790562377622,5.275493141559839,-8.714283703937461,0.7807764064044153,0.4722222222222222,8.255844611471432e-07
