label,sharpe_ann,nav,alpha_cum,max_dd,calmar,win_rate,in_market,avg_pos
Ensemble_v92,2.222,5.53,55.0,-4.46,4.108,64.8,54.1,0.541
MLP_v92,2.067,5.4,53.1,-4.82,3.747,69.7,62.3,0.623
ElasticNet_v92,2.033,5.27,50.8,-8.11,2.191,65.6,55.7,0.557
EWLogit_v92,1.748,5.25,51.5,-12.06,1.469,69.7,65.6,0.656
LogReg_v92,1.727,5.83,62.7,-8.11,2.333,71.3,67.2,0.672
