date,logit,signal,pos_start,pos_end,som_ret,remaining_ret,strategy_pnl,bh_pnl,alpha_pnl,kalman_uncertainty,hmm_stress_prob,hawkes_vix_intensity
2021-01-01,-1.222,SHORT,0.0,-0.8249347038908161,2.655209220001886,-2.2287972076200813,1.8386121645007496,-2.2287972076200813,4.067409372120831,0.7807764064044151,0.8055555555555556,0.02998151470660555
2021-02-01,-0.9814,SHORT,-0.8249347038908161,-0.7429454520920934,4.206038379802113,-3.0880412145685154,-1.1754608491588412,-3.0880412145685154,1.9125803654096742,0.7807764064044153,0.6944444444444444,0.018184707894181484
2021-03-01,-0.7457,SHORT,-0.7429454520920934,-0.6407300557478446,1.7202228703528055,0.09952279449927381,-1.3417990037811247,0.09952279449927381,-1.4413217982803985,0.7807764064044151,0.75,0.011029582875739428
2021-04-01,-0.3989,SHORT,-0.6407300557478446,-0.2189260728024243,4.119536203907104,-0.10273637130358004,-2.6170189912811983,-0.10273637130358004,-2.5142826199776183,0.7807764064044153,0.7222222222222222,0.0066897801779774
2021-05-01,-0.6637,SHORT,-0.2189260728024243,-0.34595755607079587,-0.7005099387977998,0.9804745765968681,-0.18584269844893195,0.9804745765968681,-1.1663172750458,0.7807764064044151,0.6388888888888888,0.004057556784681131
2021-06-01,-0.102,SHORT,-0.34595755607079587,-0.07751949094846794,1.0601993317531422,1.198844249150488,-0.4597177656818521,1.198844249150488,-1.6585620148323401,0.7807764064044153,0.4722222222222222,0.0024610325934341184
2021-07-01,-0.3576,SHORT,-0.07751949094846794,-0.24418221861724831,0.16713195090674038,1.5737804934414346,-0.3972451962605922,1.5737804934414346,-1.9710256897020266,0.7807764064044151,0.6111111111111112,0.001492691722469889
2021-08-01,-0.4747,SHORT,-0.24418221861724831,-0.2741993625815068,2.1095651856782194,0.9592138776840509,-0.7781341411969172,0.9592138776840509,-1.737348018880968,0.7807764064044153,0.4166666666666667,0.0009053632951772489
2021-09-01,-0.5153,SHORT,-0.2741993625815068,-0.33211424500320413,-1.1127099593509437,-3.7152277172394554,1.5389844099180825,-3.7152277172394554,5.254212127157538,0.7807764064044151,0.4444444444444444,0.0005491305967034604
2021-10-01,-0.405,SHORT,-0.33211424500320413,-0.2871189044161756,2.624029157409624,2.997068012712001,-1.7319923467501255,2.997068012712001,-4.729060359462126,0.7807764064044153,0.4166666666666667,0.0003330645430869419
2021-11-01,-0.5712,SHORT,-0.2871189044161756,-0.3570477397608801,1.498373312352208,-2.4728794738190896,0.4527247229791783,-2.4728794738190896,2.9256041967982678,0.7807764064044151,0.6111111111111112,0.00020201385704540968
2021-12-01,-1.3893,SHORT,-0.3570477397608801,-0.567692999060041,4.360918582596218,1.1960041190271387,-2.2360192884158794,1.1960041190271387,-3.432023407443018,0.7807764064044153,0.4444444444444444,0.00012252759798484595
2022-01-01,-0.3166,SHORT,-0.567692999060041,-0.2273997837932988,-4.575153860266534,-1.344953475009325,2.903124945524999,-1.344953475009325,4.248078420534323,0.7807764064044151,0.4722222222222222,7.431674483875296e-05
2022-02-01,-0.9074,SHORT,-0.2273997837932988,-0.4450057793115176,-1.659943605467018,-2.172410631012267,1.3442061028305083,-2.172410631012267,3.5166167338427754,0.7807764064044153,0.6388888888888888,4.507538427474427e-05
2022-03-01,-0.9653,SHORT,-0.4450057793115176,-0.552573555451024,-1.0173561280554466,6.286525355136141,-3.021038310317927,6.286525355136141,-9.307563665454069,0.7807764064044151,0.75,2.7339602560961105e-05
2022-04-01,-0.1936,SHORT,-0.552573555451024,-0.12360195142677088,-3.3914374837764494,-5.9148072837563515,2.6051003910857906,-5.9148072837563515,8.519907674842141,0.7807764064044153,0.8055555555555556,1.658230717758094e-05
2022-05-01,-1.2018,SHORT,-0.12360195142677088,-0.5551444090908243,-3.5464867232358976,3.097297661432963,-1.2810948003335028,3.097297661432963,-4.378392461766466,0.7807764064044151,0.8333333333333334,1.0057677711975704e-05
2022-06-01,-0.2366,SHORT,-0.5551444090908243,-0.15987142988379602,-7.588942829346312,-0.12163620484485493,4.232405336615693,-0.12163620484485493,4.354041541460548,0.7807764064044153,0.6944444444444444,6.1002898978216736e-06
2022-07-01,-0.6504,SHORT,-0.15987142988379602,-0.4365422322897685,0.1443012759683393,7.816542020700368,-3.435320353826431,7.816542020700368,-11.251862374526798,0.7807764064044151,0.8888888888888888,3.700012856164093e-06
2022-08-01,-0.8309,SHORT,-0.4365422322897685,-0.36476795994091116,4.334208219723545,-7.9620398683775795,1.0122321083095103,-7.9620398683775795,8.97427197668709,0.7807764064044153,0.8333333333333334,2.244171238594432e-06
2022-09-01,-1.1634,SHORT,-0.36476795994091116,-0.544551722999938,-2.3575380969787063,-7.427975411338561,4.904871170763487,-7.427975411338561,12.332846582102048,0.7807764064044151,0.6388888888888888,1.3611586618527985e-06
2022-10-01,-1.4485,SHORT,-0.544551722999938,-0.6587643071060107,-0.013049045380775226,5.275493141559839,-3.468200703896574,5.275493141559839,-8.743693845456413,0.7807764064044153,0.4722222222222222,8.255844611471432e-07
2022-11-01,-0.718,SHORT,-0.6587643071060107,-0.4032892421208989,3.517284302792989,2.2140776054492717,-3.209975036122763,2.2140776054492717,-5.424052641572034,0.7807764064044151,0.7777777777777778,5.007422878680758e-07
2022-12-01,-0.0051,FLAT,-0.4032892421208989,-0.0037570334721428464,-4.435591686147921,-1.443881152538018,1.7942511192842368,-1.443881152538018,3.2381322718222547,0.7807764064044153,0.8888888888888888,3.037155502066374e-07
2023-01-01,-0.6016,SHORT,-0.0037570334721428464,-0.37377144079821734,2.7383934688583578,3.760378328573677,-1.4158102617397736,3.760378328573677,-5.17618859031345,0.7807764064044151,0.5277777777777778,1.8421279303181723e-07
2023-02-01,-0.4858,SHORT,-0.37377144079821734,-0.29078381644282814,0.6892098242138767,-4.278377857073979,0.9864760924557534,-4.278377857073979,5.264853949529732,0.7807764064044153,0.3333333333333333,1.117307068850949e-07
2023-03-01,-0.6399,SHORT,-0.29078381644282814,-0.4040755011181828,-1.5047869230827682,5.585403642922682,-1.8193570915340387,5.585403642922682,-7.404760734456721,0.7807764064044151,0.2777777777777778,6.776809935717548e-08
2023-04-01,-0.0928,SHORT,-0.4040755011181828,-0.07109149863645609,0.736087438265387,0.35163555057076135,-0.32243319874781645,0.35163555057076135,-0.6740687493185777,0.7807764064044153,0.25,4.110343001057893e-08
2023-05-01,-0.2086,SHORT,-0.07109149863645609,-0.1662386404082116,-0.7579411066084174,1.0528784318276418,-0.12114590987519076,1.0528784318276418,-1.1740243417028327,0.7807764064044151,0.3333333333333333,2.4930490520768495e-08
2023-06-01,-0.1141,SHORT,-0.1662386404082116,-0.0986586699376498,4.852381651828219,0.5544710156716093,-0.8613567014668139,0.5544710156716093,-1.415827717138423,0.7807764064044153,0.1388888888888889,1.512110686252127e-08
